iter	Logloss
0	0.6905109606
1	0.6876061745
2	0.6845464586
3	0.6818793619
4	0.6794200836
5	0.6764773343
6	0.6741168373
7	0.6718216435
8	0.6696060965
9	0.6669874883
10	0.6651164217
11	0.6622050504
12	0.6593206825
13	0.6567652117
14	0.654731402
15	0.6525617695
16	0.6505416342
17	0.6478189233
18	0.6465753308
19	0.6446701038
20	0.6426822327
21	0.6409003983
22	0.6386566996
23	0.6365661815
24	0.6340762825
25	0.6319230855
26	0.6300643318
27	0.6283433202
28	0.6265612615
29	0.625019559
30	0.6227959469
31	0.6213301762
32	0.6192804604
33	0.6171458414
34	0.6153169388
35	0.6145124863
36	0.6132317326
37	0.6117639465
38	0.6096944483
39	0.6081710386
40	0.606071543
41	0.6044205653
42	0.6032139112
43	0.6017216549
44	0.6001276189
45	0.5987761062
46	0.5973063038
47	0.5961405991
48	0.595035196
49	0.5936996249
50	0.5925219455
51	0.5912700347
52	0.5899327592
53	0.5890114114
54	0.5877952363
55	0.5864343621
56	0.585193837
57	0.584023274
58	0.5825892426
59	0.5812656496
60	0.5798318292
61	0.5785067248
62	0.5779220514
63	0.576619582
64	0.575345524
65	0.5743482577
66	0.573292182
67	0.5720120954
68	0.5710337967
69	0.5701889758
70	0.5693152066
71	0.5679994797
72	0.5667197873
73	0.5658037316
74	0.5648954259
75	0.5637352049
76	0.562657364
77	0.5616452373
78	0.5606488939
79	0.5597262854
80	0.5585484182
81	0.5574784448
82	0.5567197437
83	0.5556955842
84	0.5547787234
85	0.5541331553
86	0.5534635959
87	0.5526886693
88	0.5517268829
89	0.5509490673
90	0.5504400351
91	0.5496834716
92	0.5487122559
93	0.5480850801
94	0.5473316828
95	0.54633589
96	0.5455783992
97	0.5449729219
98	0.5441560031
99	0.5432400778
100	0.5426015435
101	0.541797876
102	0.5408167954
103	0.5403368305
104	0.5396973404
105	0.5386022758
106	0.5379696255
107	0.5372517109
108	0.5365970292
109	0.535942515
110	0.5350497352
111	0.5340400218
112	0.5331706155
113	0.5322853433
114	0.5314949347
115	0.5308977927
116	0.5302595214
117	0.5297358617
118	0.5292231388
119	0.5284285856
120	0.5277891047
121	0.5272336024
122	0.5265179221
123	0.5259991142
124	0.5253569955
125	0.5247458843
126	0.5239294507
127	0.5236248605
128	0.5228290811
129	0.5223167374
130	0.5218154211
131	0.5213821306
132	0.5206177028
133	0.5203414886
134	0.5200718895
135	0.5194356855
136	0.5184511884
137	0.5178186781
138	0.5174005435
139	0.5165890184
140	0.5160397342
141	0.5155075105
142	0.5150692904
143	0.5142725429
144	0.5136526898
145	0.5131963183
146	0.5127356478
147	0.5124483121
148	0.5120868338
149	0.51143335
150	0.51097895
151	0.5105790336
152	0.5101912737
153	0.5099757752
154	0.5097157627
155	0.5092190405
156	0.5087462525
157	0.5083480356
158	0.5076699693
159	0.5072713608
160	0.506744764
161	0.5064738123
162	0.5059765193
163	0.505721335
164	0.504840062
165	0.5041156039
166	0.5037265958
167	0.50325326
168	0.5026989706
169	0.5021973591
170	0.5019566381
171	0.5016371049
172	0.5012777455
173	0.5010248025
174	0.5001729116
175	0.4999056592
176	0.4994696405
177	0.4990573555
178	0.4986403824
179	0.4983680312
180	0.4977052849
181	0.4974227616
182	0.4969324773
183	0.4965427393
184	0.4960617462
185	0.4955230463
186	0.4951792417
187	0.494672848
188	0.4943229966
189	0.4939841994
190	0.4936912363
191	0.4934029837
192	0.4930404621
193	0.4927577751
194	0.492408679
195	0.4918370369
196	0.4915279458
197	0.4910709504
198	0.4907944294
199	0.4904546761
200	0.4901494956
201	0.4898925624
202	0.4896368226
203	0.4891555434
204	0.4886612536
205	0.4882759131
206	0.4881099193
207	0.4876921048
208	0.4872379858
209	0.4869926191
210	0.4866788894
211	0.486393709
212	0.4859442628
213	0.4855988181
214	0.485327952
215	0.4849889059
216	0.484715094
217	0.4843217258
218	0.4839680835
219	0.4837641125
220	0.4835729162
221	0.4832487068
222	0.4829918275
223	0.4826822891
224	0.4823216326
225	0.482087611
226	0.4816795411
227	0.4813311274
228	0.4809140252
229	0.4805916514
230	0.4802645712
231	0.4798239415
232	0.479147928
233	0.4789842263
234	0.4784714274
235	0.4782707431
236	0.4780055332
237	0.4776316738
238	0.4772585494
239	0.4768850532
240	0.4765385784
241	0.4762513854
242	0.4758254184
243	0.4756954876
244	0.4753100368
245	0.474958778
246	0.4746988821
247	0.4742461521
248	0.4738897847
249	0.4735699171
250	0.4732239249
251	0.4729969488
252	0.4727818917
253	0.4721394491
254	0.4717687934
255	0.4715495382
256	0.4711849024
257	0.4708724015
258	0.4707556778
259	0.470697042
260	0.4703393871
261	0.4701693983
262	0.4697440544
263	0.4691871096
264	0.4687313267
265	0.4683898028
266	0.468168992
267	0.4677427962
268	0.4673932577
269	0.4672348305
270	0.4669741347
271	0.4667000723
272	0.4664248921
273	0.4660991958
274	0.4657897222
275	0.465572303
276	0.4651796779
277	0.4649763109
278	0.4648194247
279	0.4646994759
280	0.4644850247
281	0.4640301138
282	0.4637771581
283	0.4636639404
284	0.4634322415
285	0.4631181939
286	0.462852063
287	0.4625553775
288	0.4620563674
289	0.4618207058
290	0.4616148481
291	0.4614401522
292	0.4611227411
293	0.4608759595
294	0.4605311517
295	0.4603843595
296	0.4600445836
297	0.4597458132
298	0.4595641038
299	0.4591734982
300	0.4590273798
301	0.4587021887
302	0.4583781312
303	0.4582841349
304	0.4579591988
305	0.4578303999
306	0.457506271
307	0.457280592
308	0.4571619429
309	0.4570096091
310	0.4567436017
311	0.4564994159
312	0.4560913687
313	0.4556044367
314	0.4550679381
315	0.4542780611
316	0.4540458496
317	0.4538836496
318	0.4537897479
319	0.4535127704
320	0.4532311902
321	0.4529641912
322	0.4525578748
323	0.4523863561
324	0.4521660078
325	0.4518267755
326	0.4517213559
327	0.4514385989
328	0.451143258
329	0.4508596915
330	0.4506097899
331	0.4504882106
332	0.4502466754
333	0.4499068625
334	0.4496307859
335	0.4494533388
336	0.4491217631
337	0.448912006
338	0.4486669647
339	0.4484183067
340	0.4481567642
341	0.4479944286
342	0.4475755974
343	0.4473490847
344	0.4471035639
345	0.4468002602
346	0.4465660541
347	0.4462825821
348	0.4462053302
349	0.4457716935
350	0.4454896845
351	0.4450791743
352	0.4449084797
353	0.4445166442
354	0.4443769111
355	0.4442839597
356	0.4439823112
357	0.4435680286
358	0.4433251649
359	0.4430018353
360	0.4428792287
361	0.4426186562
362	0.4424820825
363	0.4423893218
364	0.4418246649
365	0.4416378046
366	0.4413911412
367	0.441260321
368	0.4411641463
369	0.4409420756
370	0.4407930725
371	0.4405994208
372	0.4404441643
373	0.4402534916
374	0.4400361224
375	0.4399334713
376	0.4397048427
377	0.4395728601
378	0.4394865511
379	0.4392711951
380	0.4390856303
381	0.4387378747
382	0.4385450977
383	0.4383444698
384	0.4381902051
385	0.4380407992
386	0.437779144
387	0.4375921551
388	0.4373391101
389	0.4372081406
390	0.4370424357
391	0.4368926373
392	0.4366538537
393	0.4365173765
394	0.4363269389
395	0.4362139475
396	0.436031769
397	0.435777032
398	0.4356690767
399	0.4354984704
400	0.4353569078
401	0.4352379003
402	0.4349797732
403	0.4348292162
404	0.4347293058
405	0.4345707072
406	0.4343787537
407	0.4341295201
408	0.4340300776
409	0.4338133617
410	0.4337786987
411	0.433574283
412	0.4331813689
413	0.4330412832
414	0.4328087183
415	0.4326681397
416	0.4325172676
417	0.432408798
418	0.432308544
419	0.4321019477
420	0.4319511173
421	0.4315006811
422	0.4313117809
423	0.4312320858
424	0.4310441524
425	0.4308746807
426	0.430707889
427	0.430299526
428	0.4301662171
429	0.4299002555
430	0.4296404426
431	0.4294788787
432	0.4292342225
433	0.4291552261
434	0.4290121556
435	0.4289111112
436	0.4288245889
437	0.4285871229
438	0.428497776
439	0.4283188973
440	0.4281162188
441	0.4280393063
442	0.4279349883
443	0.4277875503
444	0.4276383697
445	0.4272919605
446	0.426965502
447	0.4267473075
448	0.4264270503
449	0.4263089248
450	0.4261426545
451	0.4259926664
452	0.4257974054
453	0.4256505469
454	0.4254837352
455	0.425317541
456	0.4251320619
457	0.4250713119
458	0.4249037556
459	0.4246867195
460	0.4246100936
461	0.4244941285
462	0.424380281
463	0.4243690181
464	0.42403367
465	0.4238087996
466	0.4236414229
467	0.4234276884
468	0.4230375868
469	0.4229736953
470	0.4226209545
471	0.422498698
472	0.4220661375
473	0.4219862591
474	0.4219079772
475	0.4214409555
476	0.4213145128
477	0.4212266825
478	0.4211287143
479	0.4209790366
480	0.4207964709
481	0.4206649269
482	0.4205652381
483	0.4203984282
484	0.4202835936
485	0.4202081741
486	0.4200806177
487	0.4199004177
488	0.4197915068
489	0.4194949922
490	0.4192704232
491	0.419060373
492	0.418452089
493	0.4183129622
494	0.418183951
495	0.4179835157
496	0.4178259204
497	0.4175873824
498	0.4174911353
499	0.4173770022
500	0.4171918017
501	0.4170781958
502	0.4168077588
503	0.4165574024
504	0.4164540344
505	0.4163457574
506	0.4159738518
507	0.4158828672
508	0.4157362678
509	0.4156307853
510	0.4154356242
511	0.4153368437
512	0.4151841634
513	0.4150275605
514	0.414840287
515	0.4146106784
516	0.4144539235
517	0.4142478337
518	0.4140688192
519	0.4140283168
520	0.4137545001
521	0.4133662116
522	0.4132907387
523	0.4130961869
524	0.4130050195
525	0.4126893083
526	0.4125049076
527	0.4122977094
528	0.4121117497
529	0.4119471261
530	0.411799694
531	0.4116969876
532	0.4113929492
533	0.4112962671
534	0.4109895796
535	0.4109160731
536	0.4107513607
537	0.4106324528
538	0.4104787974
539	0.4103908463
540	0.410307523
541	0.4102265967
542	0.410132919
543	0.4100733773
544	0.4099245677
545	0.4097264569
546	0.4095197135
547	0.4093337687
548	0.4091836325
549	0.409036547
550	0.4089672793
551	0.4088177189
552	0.4086276846
553	0.4085064156
554	0.4084521019
555	0.4082403266
556	0.4079222487
557	0.4077879356
558	0.4076596673
559	0.407548012
560	0.4073369994
561	0.4072273543
562	0.4070605613
563	0.4069113994
564	0.40677342
565	0.4066280507
566	0.4064725403
567	0.4061863755
568	0.4060773252
569	0.4058500157
570	0.4057511877
571	0.4056097974
572	0.4055057554
573	0.4052158475
574	0.4051371781
575	0.4049449124
576	0.4047768172
577	0.4046676386
578	0.4045313697
579	0.4044637611
580	0.4042099803
581	0.404021481
582	0.4037913461
583	0.4036293494
584	0.4032521053
585	0.4029479855
586	0.4027480977
587	0.4024894396
588	0.4023890848
589	0.4022972461
590	0.4022127361
591	0.4021225562
592	0.4019143479
593	0.4017566116
594	0.4015866729
595	0.4014604818
596	0.4012868688
597	0.4011362038
598	0.4008991682
599	0.4007726146
600	0.4006258515
601	0.4004915604
602	0.4003713725
603	0.400309606
604	0.4000028853
605	0.3999249364
606	0.3998104636
607	0.3997090007
608	0.39945487
609	0.3991989551
610	0.399055192
611	0.3988116104
612	0.3986991056
613	0.3985722249
614	0.3983420988
615	0.3982814561
616	0.3979970835
617	0.3978668074
618	0.3977840013
619	0.3976656796
620	0.3973981663
621	0.3973069288
622	0.3972641483
623	0.3972435047
624	0.3969490422
625	0.3968709076
626	0.3967251842
627	0.3965416526
628	0.3963946134
629	0.3963348154
630	0.39625446
631	0.3961960892
632	0.3959022392
633	0.3958204481
634	0.3953761285
635	0.3952460179
636	0.3949953612
637	0.3948296035
638	0.3945082917
639	0.394437873
640	0.3940962933
641	0.3940051315
642	0.3939056889
643	0.3937369191
644	0.3935651247
645	0.3933964249
646	0.3931646089
647	0.3930452021
648	0.392869364
649	0.392763013
650	0.3926773755
651	0.3925194054
652	0.3923331799
653	0.3920067159
654	0.3918649107
655	0.39176993
656	0.3916000452
657	0.3914449811
658	0.3913554991
659	0.3912159917
660	0.3911567967
661	0.39100109
662	0.3907825664
663	0.3906729501
664	0.3905495458
665	0.3904694284
666	0.3904104854
667	0.3903477796
668	0.3901533883
669	0.3899748637
670	0.3898373743
671	0.3896790552
672	0.3895611113
673	0.3893086215
674	0.3891655836
675	0.3889730167
676	0.3888746743
677	0.3886474659
678	0.3884629292
679	0.3883194456
680	0.3881909424
681	0.3879441367
682	0.3878205251
683	0.3877256872
684	0.3876143503
685	0.3874924715
686	0.3874121559
687	0.3872066247
688	0.3870470308
689	0.3868556718
690	0.3866587763
691	0.3866392904
692	0.3864845092
693	0.3863041243
694	0.3861790259
695	0.386005269
696	0.3856494428
697	0.3853817701
698	0.3852773346
699	0.3850862996
700	0.3849546508
701	0.3846655784
702	0.3845770561
703	0.3844388051
704	0.3843786946
705	0.3842380982
706	0.3841389094
707	0.383894737
708	0.3837251471
709	0.3835719718
710	0.3832977366
711	0.3831303626
712	0.3830546638
713	0.3829684219
714	0.3828076278
715	0.3826557393
716	0.3825840695
717	0.3823952307
718	0.382248428
719	0.381984374
720	0.3818058738
721	0.3816591655
722	0.3815544666
723	0.3814870086
724	0.3812868165
725	0.3809898056
726	0.3808391328
727	0.3806863909
728	0.3805700715
729	0.3804906221
730	0.3803682381
731	0.3801686722
732	0.3800323507
733	0.3799520604
734	0.3798825626
735	0.3796911551
736	0.3794622635
737	0.3793106123
738	0.3791501882
739	0.3790606171
740	0.3787480711
741	0.3785777024
742	0.3783343173
743	0.3782431267
744	0.3780668205
745	0.3779723601
746	0.3778669973
747	0.377810491
748	0.3776740192
749	0.3774752198
750	0.3773114999
751	0.3771538053
752	0.3769166018
753	0.3767568417
754	0.3765643801
755	0.3765117348
756	0.3764063329
757	0.3762626074
758	0.376155434
759	0.3760168477
760	0.3757708772
761	0.3755812627
762	0.3753599919
763	0.3748907855
764	0.3747698516
765	0.3746707903
766	0.3744951054
767	0.3743550004
768	0.374291269
769	0.374148654
770	0.3739886033
771	0.3738048371
772	0.3736960435
773	0.3736308938
774	0.3735096188
775	0.3734057908
776	0.3732927302
777	0.3730911954
778	0.3730172599
779	0.372873437
780	0.3728016254
781	0.3727194777
782	0.372564414
783	0.3723475528
784	0.372214022
785	0.3721196553
786	0.3720344204
787	0.3719034675
788	0.3718026942
789	0.3715438695
790	0.3712278695
791	0.371225893
792	0.3711421398
793	0.3709096377
794	0.3707976064
795	0.3706847566
796	0.3705014641
797	0.3703267035
798	0.370117607
799	0.3697018746
800	0.3694513679
801	0.369302764
802	0.3692161743
803	0.3690822979
804	0.3689115371
805	0.3687606194
806	0.3686584715
807	0.3684493592
808	0.3682285938
809	0.3681314001
810	0.3678546056
811	0.3677544438
812	0.367534775
813	0.3673771346
814	0.3670942089
815	0.366980375
816	0.3668753348
817	0.3666690936
818	0.3662064712
819	0.3660174578
820	0.3658768102
821	0.3657240793
822	0.3656341219
823	0.3654726714
824	0.3653499636
825	0.3652313856
826	0.3650102612
827	0.3649364991
828	0.3645239263
829	0.3643277219
830	0.3641814109
831	0.3640622746
832	0.3638472706
833	0.3637052051
834	0.3635883544
835	0.3634656349
836	0.363344577
837	0.3629398626
838	0.3628631469
839	0.3625903198
840	0.3623898068
841	0.3622300815
842	0.3621087128
843	0.3620187653
844	0.3618349105
845	0.361659407
846	0.3615088495
847	0.3613825487
848	0.3612953714
849	0.3612005649
850	0.3610717814
851	0.3609645478
852	0.3608785444
853	0.3608171053
854	0.3606244539
855	0.360480263
856	0.3602234336
857	0.3601119259
858	0.360028136
859	0.3598434107
860	0.3597139556
861	0.3594095671
862	0.3590817315
863	0.3588479959
864	0.3586709102
865	0.3585991201
866	0.3584619621
867	0.3582479668
868	0.3579701221
869	0.3578080673
870	0.3576864531
871	0.3573468384
872	0.3571899715
873	0.3570325032
874	0.3569351658
875	0.3568292997
876	0.3567063291
877	0.3565550277
878	0.3564241184
879	0.3561743031
880	0.3559358781
881	0.3557068597
882	0.3555964527
883	0.3553583145
884	0.3551409024
885	0.3549480903
886	0.3547541813
887	0.3546454169
888	0.3545901819
889	0.3543939976
890	0.3542688479
891	0.3538897514
892	0.3535394204
893	0.3534091779
894	0.3534018534
895	0.3533614985
896	0.3531861069
897	0.3531294439
898	0.3530055773
899	0.352907354
900	0.3526593038
901	0.3525812252
902	0.3525311141
903	0.35239563
904	0.3522307981
905	0.3521050833
906	0.3518927356
907	0.3517952693
908	0.3516652099
909	0.351406233
910	0.3513006675
911	0.3512006879
912	0.351001871
913	0.3508080677
914	0.3506198976
915	0.3504532384
916	0.3502957569
917	0.350185374
918	0.350051806
919	0.3495255578
920	0.3493383105
921	0.3492141971
922	0.3488553572
923	0.3487895102
924	0.3485817548
925	0.3484742162
926	0.3482870523
927	0.348119373
928	0.3478841733
929	0.347622906
930	0.3474291111
931	0.347199222
932	0.3469746871
933	0.3468459794
934	0.3465598332
935	0.3465432613
936	0.3464174683
937	0.3462901587
938	0.3461917271
939	0.3460436796
940	0.345937091
941	0.3458698213
942	0.3457342077
943	0.3454584575
944	0.3452275863
945	0.3450137665
946	0.3447931505
947	0.3445812963
948	0.3444473287
949	0.3441143093
950	0.3440803381
951	0.3440311176
952	0.3439020615
953	0.3437518575
954	0.3436113735
955	0.3433358274
956	0.3430106828
957	0.3428496924
958	0.3426552839
959	0.3424838925
960	0.3422821672
961	0.3421773008
962	0.3421307027
963	0.3418344581
964	0.341549492
965	0.3414374872
966	0.3413108692
967	0.3412138139
968	0.3411160178
969	0.341023264
970	0.3408816885
971	0.3405632396
972	0.3403978902
973	0.3402718542
974	0.3401908603
975	0.3400947832
976	0.3400000557
977	0.3397297884
978	0.3395934057
979	0.3394199537
980	0.339238317
981	0.3390427187
982	0.3389361591
983	0.3387994654
984	0.3387259508
985	0.3385503187
986	0.3384443955
987	0.3383439352
988	0.3380770487
989	0.3379297616
990	0.3378048482
991	0.3377144758
992	0.3374739735
993	0.3372938421
994	0.337180071
995	0.3370286543
996	0.3369267844
997	0.3367428365
998	0.3366033273
999	0.3364672074
