filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 78.42±10.17, 97.71±1.59, 0.5874, 98.81±1.37, 0.0211, 98.53±1.41, 0.1162, 19.8±1.73, <0.0001, 98.29±1.44, 0.3417, 16.13±2.83, <0.0001, 97.93±1.52, 5.23±1.01, 76.8±0.15
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 74.81±10.12, 98.45±1.47, 0.7843, 99.11±0.96, 0.0708, 98.95±1.0, 0.2025, 18.87±2.86, <0.0001, 98.69±1.31, 0.6943, 16.1±2.86, <0.0001, 98.55±1.37, 4.77±1.19, 73.72±0.14
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 78.18±7.77, 97.97±1.92, 0.8907, 98.73±1.42, 0.0851, 98.58±1.44, 0.1616, 18.83±2.07, <0.0001, 98.33±1.69, 0.399, 17.03±2.99, <0.0001, 97.9±2.18, 3.97±0.93, 76.54±0.17
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 75.7±9.27, 97.88±1.5, 0.9096, 98.66±1.37, 0.0713, 98.66±1.24, 0.0614, 19.87±2.3, <0.0001, 98.45±1.64, 0.2282, 17.37±3.31, <0.0001, 97.93±1.68, 3.67±1.06, 74.13±0.16
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 68.67±7.44, 98.52±1.08, 0.1826, 99.42±0.68, 0.0306, 99.32±0.88, 0.1003, 18.97±2.17, <0.0001, 98.92±1.04, 0.9399, 17.33±3.28, <0.0001, 98.9±1.08, 2.57±0.63, 67.92±0.08
../../Results/battery_wisconsin_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, wisconsin, 66.39±9.05, 98.56±0.98, 0.6237, 99.21±0.94, 0.0091, 99.17±0.99, 0.0143, 19.17±2.67, <0.0001, 98.98±1.17, 0.0835, 16.63±4.04, <0.0001, 98.42±1.31, 2.2±0.76, 65.34±0.12
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 82.39±7.54, 97.68±1.94, 0.256, 98.6±1.41, 0.0008, 98.57±1.87, 0.0034, 19.3±2.49, <0.0001, 94.56±3.48, 0.0007, 5.23±1.76, <0.0001, 97.12±1.79, 9.47±2.18, 80.02±0.14
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 80.04±6.6, 97.39±1.95, 0.2112, 98.59±1.39, 0.0051, 98.71±1.43, 0.0034, 18.93±2.45, <0.0001, 94.55±3.71, 0.0704, 5.03±1.63, <0.0001, 96.37±3.94, 7.13±1.72, 77.13±0.26
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 79.95±8.44, 97.93±1.13, 0.1042, 98.37±1.4, 0.0652, 98.83±1.11, 0.0375, 19.37±2.72, <0.0001, 95.22±3.85, 0.8396, 5.33±1.58, 0.3887, 94.81±10.27, 5.73±1.96, 75.81±0.87
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 75.88±7.49, 98.2±1.27, 0.2253, 98.7±1.21, 0.0109, 98.83±1.17, 0.0037, 20.33±2.35, <0.0001, 95.74±3.94, 0.012, 4.87±1.25, 0.7527, 97.75±1.57, 4.77±1.19, 74.17±0.12
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 75.16±7.02, 98.22±1.32, 0.2095, 98.84±0.98, 0.0013, 99.22±1.06, <0.0001, 19.67±1.95, <0.0001, 96.24±3.58, 0.0346, 5.57±1.57, <0.0001, 97.77±1.44, 4±0.83, 73.49±0.1
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 73.82±7.41, 98.15±1.39, 0.3061, 99.08±1.04, 0.0005, 98.94±1.06, 0.0018, 18.9±1.88, <0.0001, 95.61±3.95, 0.0088, 4.93±1.53, <0.0001, 97.74±1.7, 3.27±0.91, 72.15±0.13
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 73.51±7.3, 98.32±1.19, 0.4957, 99.11±1.01, 0.0045, 99.07±1.24, 0.0101, 19.63±2.31, <0.0001, 95.6±4.41, 0.0057, 5.73±1.89, <0.0001, 98.06±1.65, 3.03±0.85, 72.08±0.12
../../Results/battery_wisconsin_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, wisconsin, 64.22±11.75, 98.71±1.19, 0.1818, 99.34±0.76, 0.0004, 99.32±0.79, 0.0005, 19.27±2.39, <0.0001, 96.63±4.06, 0.0401, 5.5±1.63, <0.0001, 98.27±1.34, 2.1±0.92, 63.11±0.16
