filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 75.42±4.68, 98.64±1.19, 0.0845, 99.79±0.22, <0.0001, 99.14±0.64, 0.7293, 22.5±2.83, <0.0001, 99.46±0.53, 0.0206, 23.47±3.76, <0.0001, 99.08±0.68, 10.53±2.15, 74.72±0.03
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 74.23±5.76, 98.68±1.48, 0.1729, 99.8±0.24, <0.0001, 99.02±0.78, 0.7086, 21.1±3.72, <0.0001, 99.58±0.56, 0.0093, 22.83±4.83, <0.0001, 99.1±0.8, 10.83±1.39, 73.56±0.05
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 75.08±7.33, 98.42±1.49, 0.1103, 99.84±0.19, <0.0001, 98.93±0.91, 0.9407, 21.37±3.37, <0.0001, 99.53±0.79, 0.0106, 23.8±3.85, <0.0001, 98.94±0.94, 10.73±1.84, 74.29±0.07
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 75.9±6.62, 98.32±1.42, 0.1214, 99.85±0.25, <0.0001, 98.74±0.98, 0.791, 21.83±3.03, <0.0001, 99.39±0.64, 0.0065, 23.83±2.98, <0.0001, 98.81±0.92, 10.37±1.63, 74.99±0.06
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, kr-vs-kp, 72.8±6.8, 98.92±0.92, 0.6587, 99.86±0.2, <0.0001, 99.05±0.63, 0.8227, 21.9±2.82, <0.0001, 99.69±0.43, <0.0001, 23.17±4.15, <0.0001, 99.01±0.65, 9.1±1.69, 72.08±0.04
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 82.61±7.16, 98.68±1.22, 0.5042, 98.67±1.21, 0.4968, 98.79±1.12, 0.7725, 21.73±3.46, 0.004, 99.25±0.79, 0.1461, 17.4±3.38, 0.2892, 98.88±1.12, 18.53±4.72, 81.69±0.08
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 82.46±4.33, 98.67±1.36, 0.251, 98.7±1.35, 0.2769, 99.0±1.24, 0.8283, 22.07±3.12, <0.0001, 99.48±0.67, 0.1206, 18.13±3.59, 0.9062, 99.07±1.26, 18.23±2.92, 81.69±0.05
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 80.58±5.36, 98.95±1.23, 0.8378, 98.96±1.21, 0.8617, 98.88±1.28, 0.6865, 20.57±2.19, <0.0001, 99.55±0.67, 0.0342, 16.93±2.85, 0.0791, 99.01±1.18, 15.5±3.34, 79.78±0.06
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 80.84±6.39, 98.67±1.65, 0.517, 98.91±1.22, 1.0, 98.86±1.18, 0.8577, 21.6±3.17, <0.0001, 99.37±0.76, 0.0838, 16.63±3.29, 0.029, 98.91±1.22, 14.97±2.41, 79.96±0.08
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 80.46±5.9, 98.85±1.34, 1.0, 98.85±1.34, 1.0, 98.94±1.33, 0.8139, 21.23±3.23, <0.0001, 99.42±0.73, 0.0462, 17.03±3.0, <0.0001, 98.85±1.34, 13.23±1.98, 79.53±0.08
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 80.72±5.56, 98.83±1.3, 1.0, 98.83±1.3, 1.0, 98.77±1.44, 0.8721, 21.8±3.73, <0.0001, 99.45±0.91, 0.0384, 17.87±2.94, <0.0001, 98.83±1.3, 12.63±1.83, 79.78±0.07
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 77.21±6.9, 98.75±1.65, 1.0, 98.74±1.67, 0.9723, 98.63±2.03, 0.7933, 21.83±2.83, <0.0001, 99.14±1.22, 0.2986, 17.43±3.06, <0.0001, 98.75±1.65, 11.2±1.69, 76.25±0.11
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 73.07±7.08, 99.07±1.2, 1.0, 99.07±1.2, 1.0, 99.07±1.22, 0.987, 21.93±2.52, <0.0001, 99.55±0.69, 0.0617, 17.57±3.71, <0.0001, 99.07±1.2, 9.13±1.7, 72.39±0.08
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 62.01±12.06, 95.31±1.51, <0.0001, 98.15±0.98, 0.2354, 97.7±1.07, 0.0065, 21.03±3.46, <0.0001, 48.56±9.55, <0.0001, 2±0.0, <0.0001, 98.45±1.0, 73.77±9.45, 61.05±0.12
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 53.11±9.47, 95.46±1.73, <0.0001, 98.32±1.1, 0.313, 97.89±1.52, 0.0372, 21.5±2.74, <0.0001, 47.41±13.84, <0.0001, 2±0.0, <0.0001, 98.58±0.91, 54.33±7.34, 52.36±0.09
