filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 93.43±2.59, 95.97±1.66, 0.0615, 96.1±1.45, 0.0832, 98.05±1.08, 0.2681, 21.93±3.77, <0.0001, 98.24±1.2, 0.1698, 16.23±4.01, <0.0001, 97.31±3.46, 29.5±4.22, 90.92±0.09
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 92.35±3.38, 96.03±1.44, 0.0113, 96.16±1.37, 0.019, 98.11±1.51, 0.3176, 22.4±2.99, 0.0004, 98.33±1.51, 0.1751, 16.97±2.81, <0.0001, 97.53±2.8, 26.37±4.91, 90.07±0.09
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 90.7±4.74, 95.88±1.52, <0.0001, 96.14±1.39, <0.0001, 98.54±1.05, 0.7406, 22.13±3.03, 0.106, 98.6±1.37, 0.6568, 17.97±3.54, <0.0001, 98.39±2.26, 23.57±3.7, 89.23±0.11
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 90.19±4.03, 96.13±1.68, 0.0148, 96.35±1.75, 0.0395, 98.57±1.21, 0.0649, 22.03±3.05, 0.0473, 98.05±1.52, 0.3895, 15.9±3.26, <0.0001, 97.57±2.66, 20.67±2.09, 87.99±0.11
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 86.01±4.38, 96.61±1.41, <0.0001, 96.84±1.45, <0.0001, 98.65±1.37, 0.9607, 22±2.48, <0.0001, 98.73±1.27, 0.8021, 17±3.09, 0.7343, 98.63±1.81, 16.77±2.13, 84.84±0.08
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 84.94±5.66, 97.02±2.04, 0.0015, 97.04±2.01, 0.0016, 98.81±1.25, 0.6207, 22.37±3.21, <0.0001, 99.03±1.24, 0.2819, 16.97±3.41, 0.0081, 98.62±1.67, 15.1±1.52, 83.77±0.09
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 82.87±6.78, 97.35±2.06, 0.0121, 97.4±2.06, 0.0153, 98.71±1.29, 0.9148, 22.5±3.46, <0.0001, 98.84±1.41, 0.6893, 16.8±3.21, <0.0001, 98.67±1.87, 13.3±1.68, 81.76±0.13
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, kr-vs-kp, 81.1±5.87, 98.47±1.46, 0.2216, 98.5±1.42, 0.2043, 98.65±1.22, 0.1189, 21.5±2.97, <0.0001, 99.37±0.76, 0.0038, 17.1±3.64, <0.0001, 97.76±2.83, 10.57±1.19, 79.28±0.17
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 84.74±6.83, 95.51±1.23, 0.5241, 97.86±0.94, 0.0042, 97.74±1.24, 0.0063, 22.1±2.29, <0.0001, 49.94±4.29, <0.0001, 2±0.0, <0.0001, 94.86±5.42, 100.5±17.13, 80.39±0.37
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 82.51±7.92, 95.83±1.21, 0.0094, 97.79±0.58, <0.0001, 97.74±1.03, <0.0001, 21.7±3.25, <0.0001, 49.25±4.54, <0.0001, 2±0.0, <0.0001, 93.64±4.31, 77.27±13.12, 77.26±0.34
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 79.8±7.42, 95.85±1.26, 0.007, 98.08±0.85, <0.0001, 98.13±1.26, <0.0001, 21.03±2.93, <0.0001, 48.22±6.45, <0.0001, 2±0.0, <0.0001, 93.6±4.21, 59.37±8.19, 74.69±0.31
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 77.95±11.85, 95.81±1.09, 0.0072, 98.34±0.66, <0.0001, 98.05±1.03, <0.0001, 21.67±3.25, <0.0001, 48.56±6.92, <0.0001, 2±0.0, <0.0001, 92.85±5.71, 44.83±5.52, 72.38±0.68
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 65.14±14.29, 96.24±2.24, 0.0237, 98.02±1.01, <0.0001, 97.9±1.47, <0.0001, 22.6±3.43, <0.0001, 48.52±8.53, <0.0001, 2±0.0, <0.0001, 94.26±4.09, 34.33±6.08, 61.4±0.59
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 58.15±14.5, 96.96±1.58, 0.0049, 98.38±0.86, <0.0001, 98.6±1.49, <0.0001, 21.03±3.6, <0.0001, 46.05±8.65, <0.0001, 2±0.0, <0.0001, 94.44±4.45, 28.07±6.12, 54.91±0.65
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 55.41±14.01, 97.21±1.77, 0.0243, 98.85±0.8, <0.0001, 98.77±0.84, <0.0001, 21.27±2.88, 0.4646, 48.27±6.33, <0.0001, 2±0.0, <0.0001, 95.52±3.59, 20.53±4.64, 52.93±0.5
../../Results/battery_kr-vs-kp_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, kr-vs-kp, 40.41±19.1, 94.14±17.97, 0.7158, 95.28±18.03, 0.5427, 95.73±18.14, 0.4823, 21.23±3.5, <0.0001, 44.12±15.22, <0.0001, 2±0.0, <0.0001, 92.46±17.77, 11.8±4.8, 37.36±3.39
