filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_divorce_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, divorce, 55.69±20.65, 28.46±44.34, 0.8604, 28.52±44.52, 0.8559, 29.14±45.3, 0.8146, 25.4±3.1, <0.0001, 28.89±45.02, 0.8312, 5.37±0.72, <0.0001, 26.5±41.3, 1.17±0.38, 14.76±8.53
../../Results/battery_divorce_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, divorce, 56.08±20.94, 35.01±46.97, 0.6891, 34.02±45.96, 0.7487, 34.94±47.1, 0.6935, 25.97±3.76, <0.0001, 31.8±45.93, 0.897, 5.33±0.8, <0.0001, 30.3±43.69, 1.17±0.38, 16.99±9.15
../../Results/battery_divorce_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, divorce, 52.94±17.13, 12.18±31.67, 0.6502, 9.58±29.3, 0.9068, 11.81±31.03, 0.6823, 26.4±3.18, <0.0001, 9.58±29.3, 0.9068, 5.33±0.66, <0.0001, 8.73±26.66, 1.1±0.31, 4.62±4.57
../../Results/battery_divorce_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, divorce, 56.47±20.59, 29.88±43.56, 0.5906, 26.25±44.3, 0.8385, 25.99±43.92, 0.8558, 25.2±3.9, <0.0001, 25.62±43.31, 0.8816, 5.47±0.63, <0.0001, 24.0±40.6, 1.17±0.38, 13.55±8.36
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 92.55±11.02, 91.75±18.0, 0.7951, 94.33±18.08, 0.7732, 93.9±18.12, 0.844, 26.47±3.53, <0.0001, 93.06±18.14, 0.9849, 5.7±1.18, <0.0001, 92.97±18.15, 2.9±0.66, 86.04±2.0
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 76.08±25.29, 67.21±45.2, 0.8246, 67.8±45.57, 0.7869, 67.16±45.14, 0.8276, 25.93±3.19, <0.0001, 66.56±44.82, 0.8669, 5.9±0.92, <0.0001, 64.57±46.63, 2.27±0.87, 49.12±11.79
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 54.51±29.47, 25.66±43.36, 0.9975, 26.27±44.34, 0.9543, 26.47±44.66, 0.9407, 25.67±3.96, <0.0001, 29.61±46.02, 0.731, 6±1.26, <0.0001, 25.62±43.29, 1.37±0.76, 13.97±12.76
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 46.27±21.89, 19.43±39.58, 0.728, 16.47±37.47, 0.9608, 16.27±37.03, 0.977, 25.8±4.03, <0.0001, 19.82±40.34, 0.7014, 5.43±1.25, <0.0001, 16.0±36.45, 1±0.45, 7.4±7.98
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 49.22±9.58, 16.67±37.9, 0.456, 15.56±35.81, 0.5203, 15.56±35.81, 0.5203, 25.8±3.06, <0.0001, 18.89±38.84, 0.3283, 5.83±1.32, <0.0001, 10.0±30.51, 1.03±0.18, 4.92±2.92
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurFalse_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  False, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 44.71±15.42, 18.89±38.84, 0.5607, 16.67±37.9, 0.7232, 16.67±37.9, 0.7232, 26.03±4.0, <0.0001, 20.0±40.68, 0.4968, 5.93±1.31, <0.0001, 13.33±34.57, 0.97±0.32, 5.96±5.33
