filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_divorce_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, divorce, 61.37±24.16, 31.52±45.46, 0.8434, 31.78±45.8, 0.8261, 32.72±47.09, 0.7661, 26.43±3.98, <0.0001, 31.93±46.04, 0.8161, 5.47±0.57, <0.0001, 29.27±42.16, 1.27±0.45, 17.96±10.19
../../Results/battery_divorce_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, divorce, 50.59±14.7, 19.41±39.53, 0.6448, 16.03±36.51, 0.9097, 16.25±36.98, 0.8914, 25.37±3.58, <0.0001, 16.25±36.98, 0.8914, 5.63±0.56, <0.0001, 14.99±34.15, 1.07±0.25, 7.58±5.02
../../Results/battery_divorce_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, divorce, 50.78±14.45, 15.17±34.6, 0.6394, 12.1±31.5, 0.9155, 12.92±33.51, 0.8397, 25.3±4.12, <0.0001, 12.47±32.48, 0.8804, 5.4±0.62, <0.0001, 11.26±29.36, 1.07±0.25, 5.72±4.24
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 95.69±4.87, 96.72±4.42, 0.4743, 98.11±3.75, 0.5361, 97.66±4.24, 0.8769, 25.53±3.32, <0.0001, 96.91±4.25, 0.5793, 5.53±1.17, <0.0001, 97.49±3.9, 3.33±0.84, 93.29±0.19
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 89.22±15.38, 88.14±25.06, 0.8996, 88.16±30.13, 0.9052, 87.77±30.04, 0.9454, 25.87±3.09, <0.0001, 86.79±29.88, 0.9547, 5.8±1.4, <0.0001, 87.23±30.09, 2.7±0.79, 77.83±4.63
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 69.41±28.83, 57.11±47.84, 0.683, 55.55±49.5, 0.7792, 55.41±49.34, 0.7872, 26.6±4.23, <0.0001, 52.05±49.58, 0.9937, 5.5±1.53, <0.0001, 51.95±49.5, 1.73±0.69, 36.06±14.27
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 39.02±25.69, 19.78±40.25, 0.939, 19.56±39.81, 0.956, 19.56±39.81, 0.956, 26.17±3.17, <0.0001, 22.63±41.81, 0.7277, 5.67±1.3, <0.0001, 18.99±38.74, 0.9±0.66, 7.41±9.95
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 46.47±22.72, 26.1±44.07, 0.3331, 16.47±37.47, 0.9546, 22.94±42.32, 0.4934, 25.73±3.81, <0.0001, 26.1±44.07, 0.3331, 5.8±1.32, <0.0001, 15.93±36.29, 1±0.45, 7.4±8.25
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 40.78±27.8, 25.42±42.92, 0.9999, 26.17±44.17, 0.9471, 25.95±43.83, 0.9625, 26.03±3.09, <0.0001, 26.17±44.17, 0.9471, 5.97±1.4, <0.0001, 25.42±42.95, 0.9±0.61, 10.37±11.94
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 39.8±21.83, 15.56±35.81, 0.4392, 13.14±34.08, 0.6176, 13.14±34.08, 0.6176, 26.07±4.83, <0.0001, 16.67±37.9, 0.3821, 5.73±1.26, <0.0001, 9.1±27.86, 0.87±0.43, 3.62±6.08
../../Results/battery_divorce_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, divorce, 40.98±21.65, 20.3±37.99, 0.4239, 25.33±43.11, 0.2153, 25.16±42.81, 0.2198, 26.93±3.7, <0.0001, 25.85±43.66, 0.2006, 6.07±1.36, <0.0001, 12.86±33.42, 0.87±0.43, 5.27±7.24
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 94.71±6.8, 95.2±4.62, 0.2933, 97.2±3.68, 0.4542, 98.23±3.42, 0.0751, 25.53±2.86, <0.0001, 96.44±4.28, 0.9835, 3.63±0.49, 0.0743, 96.42±4.29, 3.3±0.88, 91.31±0.29
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 84.71±21.16, 80.13±36.87, 0.7526, 78.29±39.99, 0.9007, 78.29±39.99, 0.9007, 25.97±3.2, <0.0001, 79.54±36.65, 0.7977, 3.47±0.57, <0.0001, 77.01±39.52, 2.43±0.68, 65.23±8.36
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 68.63±26.28, 51.99±49.56, 0.6805, 47.97±48.98, 0.9251, 48.63±49.56, 0.8838, 26.8±3.72, <0.0001, 51.05±48.66, 0.7339, 3.6±0.56, <0.0001, 46.79±47.88, 2±0.64, 32.11±12.58
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 63.14±23.58, 43.17±47.2, 0.8242, 49.13±50.05, 0.4924, 48.66±49.62, 0.5144, 25.07±3.88, <0.0001, 40.5±47.28, 0.9968, 3.6±0.56, <0.0001, 40.45±47.19, 1.47±0.68, 25.54±11.13
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 51.57±18.39, 22.05±40.82, 0.7251, 22.89±42.22, 0.6705, 22.89±42.22, 0.6705, 25.93±3.17, <0.0001, 18.82±38.35, 0.9715, 3.33±0.48, <0.0001, 18.47±37.67, 1.17±0.46, 9.53±6.93
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 45.29±9.54, 12.92±33.55, 0.6834, 16.25±37.02, 0.4424, 16.44±37.42, 0.4323, 24.83±3.71, <0.0001, 9.78±29.85, 0.9798, 3.47±0.57, <0.0001, 9.58±29.3, 1.03±0.18, 4.34±2.8
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 46.86±16.67, 23.66±40.43, 0.6127, 19.06±38.95, 0.9558, 19.41±39.6, 0.9285, 24.5±3.44, <0.0001, 18.84±38.49, 0.9734, 3.47±0.51, <0.0001, 18.51±37.86, 1.07±0.25, 8.67±6.31
../../Results/battery_divorce_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, divorce, 48.24±14.02, 18.52±35.17, 0.5076, 12.89±33.45, 0.9789, 16.44±37.42, 0.679, 26.97±2.77, <0.0001, 12.89±33.45, 0.9789, 3.5±0.57, <0.0001, 12.66±32.9, 1.07±0.25, 6.11±4.61
