filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 22.31±22.62, 53.36±47.61, 0.967, 53.7±47.87, 0.9888, 53.57±47.8, 0.9805, 22.43±1.77, <0.0001, 53.24±47.55, 0.9593, 5.73±5.18, <0.0001, 53.88±48.01, 0.63±0.61, 12.02±10.86
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 18.83±20.94, 47.15±48.04, 1.0, 47.15±48.03, 1.0, 47.31±48.2, 0.9898, 22.3±2.55, <0.0001, 46.55±47.51, 0.9616, 5.8±4.73, <0.0001, 47.15±48.03, 0.53±0.57, 8.88±10.06
../../Results/battery_SPECT_<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, SPECT, 15.14±22.61, 31.21±44.93, 0.9966, 31.43±45.22, 0.9881, 31.26±44.98, 1.0, 22.17±2.38, <0.0001, 31.04±44.71, 0.9851, 4.53±4.8, <0.0001, 31.26±44.98, 0.33±0.48, 4.73±10.17
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 38.09±21.54, 86.51±29.5, 0.942, 87.07±29.68, 1.0, 86.86±29.62, 0.9783, 22.53±2.06, <0.0001, 86.31±29.55, 0.9217, 19.73±3.64, <0.0001, 87.07±29.68, 2.4±1.4, 33.16±6.39
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 39.53±16.74, 88.18±24.74, 0.8572, 89.33±24.64, 1.0, 89.03±24.6, 0.9621, 22.47±2.08, <0.0001, 88.27±24.57, 0.8675, 20.53±2.64, <0.0001, 89.33±24.64, 2.27±1.53, 35.31±4.12
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 35.5±20.03, 80.01±36.59, 0.9886, 80.15±36.63, 1.0, 80.25±36.66, 0.9916, 22.4±1.87, <0.0001, 80.29±36.68, 0.9879, 20.47±3.64, <0.0001, 80.15±36.63, 1.83±1.32, 28.45±7.34
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 34.31±20.28, 83.46±33.51, 1.0, 83.31±33.47, 0.9855, 83.44±33.54, 0.9979, 21.8±2.63, <0.0001, 82.63±33.19, 0.9235, 20.47±2.29, <0.0001, 83.46±33.51, 1.5±0.97, 28.64±6.8
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 28.75±20.08, 73.28±41.33, 0.9657, 73.74±41.52, 1.0, 73.55±41.43, 0.9855, 22.77±1.92, <0.0001, 73.5±41.41, 0.9823, 19.5±5.44, <0.0001, 73.74±41.52, 1.03±0.76, 21.2±8.34
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 26.89±19.56, 71.03±43.81, 0.9794, 71.32±43.88, 1.0, 71.32±43.88, 1.0, 21.93±2.05, <0.0001, 71.21±43.81, 0.9924, 20.23±3.78, <0.0001, 71.32±43.88, 1.03±0.81, 19.17±8.58
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 20.64±23.26, 48.39±49.28, 0.9924, 48.52±49.39, 1.0, 48.5±49.38, 0.999, 22.03±2.58, <0.0001, 48.18±49.08, 0.9791, 19.03±4.45, <0.0001, 48.52±49.39, 0.57±0.63, 10.01±11.49
../../Results/battery_SPECT_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, SPECT, 16.42±23.98, 30.5±43.92, 0.9397, 31.24±44.95, 0.991, 31.6±45.47, 0.9848, 23.1±1.94, <0.0001, 31.02±44.64, 0.976, 20.63±3.58, <0.0001, 31.37±45.14, 0.33±0.48, 5.15±10.82
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 29.48±13.51, 93.8±18.13, 0.4129, 97.14±4.68, 0.6759, 96.82±4.85, 0.8758, 22.7±2.37, <0.0001, 96.63±4.83, 1.0, 2±0.0, <0.0001, 96.63±4.83, 3.9±1.94, 28.48±0.65
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 30.15±15.5, 93.95±7.5, 0.2849, 96.28±7.46, 0.894, 96.18±7.4, 0.934, 22.2±2.41, <0.0001, 96.02±7.4, 1.0, 2±0.0, <0.0001, 96.02±7.4, 3.73±1.62, 28.95±1.15
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 25.39±15.56, 89.17±25.34, 0.7925, 91.04±25.07, 0.9805, 90.63±25.04, 0.9688, 22.47±2.1, <0.0001, 90.88±25.03, 1.0, 2±0.0, 0.289, 90.88±25.03, 2.23±1.19, 23.08±3.89
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 20.81±19.37, 64.56±46.63, 0.9613, 65.15±46.96, 1.0, 65.07±46.89, 0.995, 22.03±2.55, <0.0001, 65.15±46.96, 1.0, 2±0.0, 0.0108, 65.15±46.96, 1.4±1.25, 13.56±9.1
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 14.63±14.49, 61.4±47.91, 0.9492, 62.19±48.23, 1.0, 62.41±48.39, 0.9858, 22.57±2.06, <0.0001, 62.19±48.23, 1.0, 2±0.0, <0.0001, 62.19±48.23, 0.97±0.81, 9.1±6.99
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 12.48±14.71, 53.43±48.31, 0.8765, 55.4±49.49, 1.0, 55.4±49.49, 1.0, 22.13±2.54, <0.0001, 55.4±49.49, 1.0, 2±0.0, <0.0001, 55.4±49.49, 0.73±0.78, 6.91±7.28
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 8.77±11.22, 38.78±48.51, 0.965, 38.71±48.38, 0.9605, 39.33±49.13, 1.0, 22.33±2.01, <0.0001, 39.33±49.13, 1.0, 2±0.0, <0.0001, 39.33±49.13, 0.4±0.5, 3.45±5.51
../../Results/battery_SPECT_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, SPECT, 0.37±2.03, 2.67±14.61, 1.0, 2.67±14.61, 1.0, 3.33±18.26, 0.8764, 21.6±2.25, <0.0001, 2.67±14.61, 1.0, 2±0.0, <0.0001, 2.67±14.61, 0.03±0.18, 0.01±0.3
