filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, Ensemble vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, tic-tac-toe, 57.07±16.53, 97.5±2.55, 0.1651, 97.33±3.32, 0.2295, 98.38±2.2, 0.037, 21.67±2.47, <0.0001, 99.75±0.61, 0.0013, 26.93±5.15, <0.0001, 95.71±6.51, 11.27±2.53, 54.62±1.08
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, tic-tac-toe, 49.01±12.94, 97.94±2.22, 0.972, 99.13±1.71, 0.1133, 98.75±1.63, 0.2805, 22.07±2.03, <0.0001, 99.76±0.81, 0.01, 25.53±5.06, <0.0001, 97.96±3.6, 8.4±1.69, 48.01±0.47
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, tic-tac-toe, 47.18±16.24, 98.09±2.49, 0.2526, 98.37±2.42, 0.1573, 98.87±2.01, 0.053, 21.27±2.41, <0.0001, 99.87±0.41, 0.0023, 26.7±5.03, <0.0001, 96.89±5.09, 7.1±1.24, 45.71±0.83
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, tic-tac-toe, 52.05±18.52, 94.76±18.07, 0.4079, 94.03±18.05, 0.5001, 94.71±18.18, 0.4151, 21.3±1.73, <0.0001, 96.47±18.23, 0.2383, 26.2±4.36, <0.0001, 90.83±18.46, 5.47±1.74, 47.28±3.42
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._forest.RandomForestClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, tic-tac-toe, 32.19±18.06, 95.96±18.19, 0.7372, 95.8±18.2, 0.7635, 96.2±18.23, 0.7001, 21.4±2.51, <0.0001, 96.63±18.25, 0.6361, 25.33±4.71, <0.0001, 94.37±18.56, 2.37±1.3, 30.38±3.35
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns5_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 73.74±7.22, 94.65±3.21, <0.0001, 99.62±0.65, 0.0014, 96.94±2.69, 0.0175, 21.73±2.05, <0.0001, 78.87±2.75, <0.0001, 1±0.0, <0.0001, 98.41±1.86, 30.53±3.41, 72.56±0.13
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns7_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 72.64±7.97, 94.61±4.39, <0.0001, 99.27±0.89, 0.0889, 96.89±2.18, 0.0006, 21.07±2.32, 0.0009, 79.16±2.98, <0.0001, 1±0.0, <0.0001, 98.69±1.6, 23.13±2.24, 71.69±0.13
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns10_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 63.26±5.88, 95.67±3.71, 0.0012, 99.28±0.82, 0.0054, 96.64±3.5, 0.0305, 21.13±1.91, <0.0001, 82.18±3.08, <0.0001, 1±0.0, <0.0001, 98.23±1.8, 18.8±2.22, 62.15±0.11
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns15_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 67.74±12.42, 95.25±2.73, 0.0238, 99.34±0.99, <0.0001, 97.01±2.14, 0.8479, 21.2±2.19, <0.0001, 83.23±2.92, <0.0001, 1±0.0, <0.0001, 96.89±2.76, 13.9±2.58, 65.64±0.34
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns20_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 57.55±10.38, 96.22±2.42, 0.0068, 99.47±0.75, 0.0122, 97.23±2.54, 0.2044, 21.87±1.93, <0.0001, 86.11±3.67, <0.0001, 1±0.0, <0.0001, 98.11±2.78, 10.73±2.59, 56.46±0.29
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns25_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 58.2±14.82, 96.24±3.61, 0.5086, 99.24±0.88, <0.0001, 97.45±3.02, 0.0526, 22.8±2.23, <0.0001, 87.68±3.65, <0.0001, 1±0.0, <0.0001, 95.55±4.3, 8.83±2.2, 55.61±0.64
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns35_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 34.58±15.27, 98.61±2.19, 0.0227, 99.53±0.99, 0.0003, 99.34±1.16, 0.0008, 21.47±2.33, <0.0001, 93.01±4.45, 0.0012, 1±0.0, <0.0001, 96.69±3.91, 3.93±1.53, 33.44±0.6
../../Results/battery_tic-tac-toe_<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>_recurTrue_p_significance0.95_min_accuracy0.95_minIns50_minImp0.05_sortingtarget_accuracy.csv,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, tic-tac-toe, 22.14±13.98, 92.45±25.2, 0.8645, 92.63±25.24, 0.8433, 92.75±25.24, 0.8293, 21.83±1.84, <0.0001, 91.34±25.02, 1.0, 1±0.0, 0.0001, 91.34±25.02, 1.9±1.21, 20.22±3.5
