filename, Recursive, Method, Dataset, Coverage, DT F1, DT vs SR ttest F1, Ensemble F1, DT vs SR p-value F1, RFIT F1, RFIT vs SR p-value F1, RFIT \# rl. num., RC vs SR p-value \# rl. num., RC F1, RC vs SR ttest F1, RC \# rl. num., RC vs SR p-value \# rl. num., SR F1, SR \# rl. num., SR F1 x coverage 
AdaBoostClassifier()-True,  True, <class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>, AdaBoostClassifier()-True, 69.92±23.53, 88.73±17.94, 0.709, 91.47±17.65, 0.0945, 90.21±19.64, 0.3032, 21.48±3.35, 0.0117, 72.31±31.04, <0.0001, 2.74±1.64, <0.0001, 87.94±22.06, 28.06±34.71, 61.49±5.19
<catboost.core.CatBoostClassifier object at 0x7fcc10d73af0>-True,  True, <class 'catboost.core.CatBoostClassifier'>, <catboost.core.CatBoostClassifier object at 0x7fcc10d73af0>-True, 73.64±19.24, 91.46±13.45, 0.161, 69.27±25.88, <0.0001, 93.48±11.54, 0.875, 21.57±3.87, <0.0001, 79.22±32.29, <0.0001, 3.25±2.02, <0.0001, 93.29±11.14, 11.02±6.94, 68.7±2.14
GradientBoostingClassifier()-True,  True, <class 'sklearn.ensemble._gb.GradientBoostingClassifier'>, GradientBoostingClassifier()-True, 73.51±24.37, 88.4±19.77, 0.6104, 91.6±18.36, 0.2606, 90.51±18.64, 0.5779, 21.48±3.41, <0.0001, 90.29±19.54, 0.6666, 17.18±13.52, 0.0078, 89.43±18.27, 13.71±11.01, 65.74±4.45
RandomForestClassifier()-True,  True, <class 'sklearn.ensemble._forest.RandomForestClassifier'>, RandomForestClassifier()-True, 73.18±21.63, 89.35±18.78, 0.2708, 86.75±24.73, 0.0373, 91.25±17.4, 0.917, 21.41±3.69, <0.0001, 90.98±17.93, 0.8044, 18.36±8.52, <0.0001, 91.44±17.21, 13.94±11.39, 66.92±3.72
True,  True, <class 'bool'>, True, 72.57±22.29, 89.48±17.66, 0.2651, 84.77±23.76, <0.0001, 91.36±17.11, 0.3611, 21.48±3.58, <0.0001, 83.2±27.13, <0.0001, 10.38±10.96, <0.0001, 90.52±17.69, 16.68±20.47, 65.69±3.94
